id,name,url,score,discounts,freebies
43,The Haberdashery,http://www.the-haberdashery.com/,0,,
22,Smart design barber Swiss cottage,http://www.smartdesignbarber.com/,0,,
23,Goodfellas Barber Shop Ilford,http://hairdressersdirect.co.uk/,0,,
61,Greedies,http://greediesworld.co.uk/,0,,
37,Med's Cafe,http://medscafe.co.uk/,0,,
89,49 Cafe,https://www.ritual.co/order/49-cafe-marchmont-st-kings-cross/10d6,0,,
82,Coffee in the Wood,http://www.coffeeinthewood.co.uk/,0,,
62,Cookies and Scream (vegan and gluten free bake shop),http://www.cookiesandscream.com/,0,,
6,The Wenlock Arms,http://wenlockarms.com/,0,,
49,The Talbot,http://thetalbotn1.com/,0,,
28,Hoxton Shoe Repairs,http://hoxtonshoerepairs.co.uk/,0,,
17,Ole & Steen,https://oleandsteen.co.uk/?y_source=1_MTY5NTUzNDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,0,,
16,"Pall Mall Barbers King Cross, Barber Shop, Barbers London, Mens Haircut",https://www.pallmallbarbers.com/location/kings-cross/?utm_source=GMBKingsCross&utm_medium=GMBKingsCross&utm_campaign=weblink,16,{'£5 OFF'},
11,The Green Cafe.,https://www.facebook.com/greencafeLDN,0,,
48,The Grocery,http://thegroceryshop.co.uk/,0,,
73,Cafe Giardino Bromley Glades,http://www.cafe-giardino.co.uk/,0,,
63,Ole & Steen,https://oleandsteen.co.uk/?y_source=1_MTY5NTUzNDctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,0,,
52,"Pall Mall Barbers Bishopsgate, Liverpool Street, City of London 💈",https://www.pallmallbarbers.com/location/bishopsgate/?utm_source=GMBBishopsgate&utm_medium=GMBBishopsgate&utm_campaign=weblink,16,{'£5 OFF'},
33,Inspire Beauty,http://www.inspirebeautyuk.com/,0,,
59,Boutique Spa Fitzrovia,http://www.boutiquespa.co.uk/,0,,
15,Camden Beauty Spa,http://camdenbeautyspa.co.uk/,0,,
8,"Adam Grooming Atelier, Mayfair",http://adamgroomingatelier.com/,23,{'15% off'},"{'vigationUKUKUSEnjoy free next day delivery w', ' SetShaving SetGift VouchersFacetime Gift Vouch', 'Total Comp Gift VoucherShop AllEau ', 'granceGift SetsGift VouchersLocationsView allCa', 'ft VouchersFacetime Gift VoucherGift Voucher', 'erGift VoucherTotal Comp Gift Vouc'}"
13,Plaquemine Lock,http://plaqlock.com/,0,,
85,Mayfair Tanning & Waxing,http://mayfairaestheticsandbeauty.com/,0,,
24,Avocado and Coffee,http://avocadoandcoffee.com/,0,,
1,Chris Supercut,https://chris-supercut-barber-shop.business.site/,0,,
31,Ozwald Copplepot; Villainously Good Coffee,https://ozwald-copplepot.business.site/,0,,
14,Bob's Café Queen's Park,http://bobscafe.net/,0,,
45,Pro-Kut,http://www.pro-kut.co.uk/,0,,
98,The Victoria,http://www.thevictoriabattersea.co.uk/,0,,"{' & BT. We also have free table tennis, pool '}"
40,The Coach & Horses,http://www.thecoachleyton.com/,0,,"{'d friendly, alcohol-free friendly, vegan fri'}"
34,Chesham Arms,http://www.cheshamarms.com/,0,,
77,Le Delice.,https://www.facebook.com/ledeliceladywell/,0,,
66,Wonder Cafe & Grill,http://www.wondercafe.co.uk/,0,,
21,The Camberwell Arms,http://www.thecamberwellarms.co.uk/,0,,{'ollection & DeliveryVouchersMenuReservationsDel'}
53,The Henry Addington,https://www.nicholsonspubs.co.uk/restaurants/london/thehenryaddingtoncanarywharflondon?utm_source=google&utm_medium=organic&utm_campaign=gmb,16,{'25% off'},
60,Hope & Anchor,https://www.greeneking-pubs.co.uk/pubs/greater-london/hope-anchor/?utm_source=g_places&utm_medium=link&utm_campaign=places&utm_content=,6,,"{'t giftA Greene King gift card makes the perf', 'someone the perfect gift of food and drink!P'}"
81,The Elephant and Castle,https://www.nicholsonspubs.co.uk/restaurants/london/theelephantandcastlekensingtonlondon?utm_source=google&utm_medium=organic&utm_campaign=gmb,16,{'25% off'},
7,Dany's Barber,http://danysbarber.com/?utm_source=gmb&utm_medium=referral,0,,
10,Towpath,http://towpathlondon.com/,0,,
97,Angel Comedy,http://www.angelcomedy.co.uk/,25,{'30% off'},"{' we’ve been running free weekly comedy writi', 'ffering comedians a FREE space to teach.For ', 'dy Writing Gym is a free space for comedy wr', 'me for stand up and free comedyJoin our mail', 'egulars include our free Comedy Writing Gyms', 'ughter.We give that gift to everyone else.Ho', 't Angel Comedy, are free at the point of ser', 'me for stand up and free comedySkip to conte', 'sFAQWatch ComedyFor free shows, please arriv'}"
2,Dulce Coffee London,http://www.dulcecoffeeandkitchen.com/,0,,
100,The Italians,http://www.theitalians.co.uk/,0,,
3,Cupping Clinic E7 - Hijama in London,https://www.hijamainlondon.com/,0,,"{'anor Park, E12 6AF**Free Entry**👩\\u200d👧\\u20'}"
18,Rosslyn Coffee | In-Store & Home Coffee Delivery,https://www.rosslyncoffee.com/?utm_source=GMB-listing,17,,"{'h gift subscriptionAboutBr', 'scribeShopCoffeeMugsVouchersGift Subscriptions3', ' gift subscription12 Mont', 'riptionsThe perfect gift for friends and fam', 'ou are eligible for free shipping!Your cart ', 'ubscriptions3 Month gift subscription6 Month'}"
56,The Alpaca,http://www.thealpaca.co.uk/,0,,
36,Black Sheep Coffee,https://leavetheherdbehind.com/blogs/locations/jubilee,0,,{' are£20.00away from free UK shippingRemoving'}
79,South Ealing Dental Practice,http://www.dentistsouthealing.com/,0,,
87,Udderlicious Covent Garden,http://www.udderlicious.co.uk/,6,,"{'wn hall. Parking is free directly outside af', ' pressie, which was free ice cream naturally'}"
96,The Shortlands Tavern,https://www.shortlandstavern.co.uk/,0,,"{'e regular nights of free live music, general'}"
51,The Bar with No Name,http://www.69colebrookerow.com/,0,,{'lications & T-ShirtsvouchersTopSIGN UP TO OUR N'}
95,The Royal George,https://www.theroyalgeorgewc2.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb,0,,
67,Jack The Clipper,https://jacktheclipper.co.uk/,31,,"{'anary WharfBuy Gift VouchersGroomingProductsSho', 'th aGift VoucherBuy Gift VouchersBow LaneA t', 'pitalfieldsBuy Gift VouchersChamber 88Gift Vouc', ' an appointmentShop Gift Vouchers & Jack The', 'r 88 at Bow LaneBuy Gift VouchersPenhaligon’', 'nd Out MoreBuy Gift VouchersSpitalfieldsTake a ', 'ts.Find Out MoreBuy Gift VouchersCanary Whar', 'ack The ClipperGift VouchersBow Lane, Brick Lan', 'ppointmentShop Gift Vouchers & Jack The Clipper', 'omeone to\\xa0a gift voucher from our shopShop G', 'eat someone to\\xa0a gift voucher from our sh', 'nd Out MoreBuy Gift VouchersCanary Wharf StoryW', ' an appointmentGift VouchersFeeling generous? T', 'reatment with aGift VoucherBuy Gift VouchersBow', '\\xa0SpitalfieldsBuy Gift VouchersChamber 88G', ' at Canary WharfBuy Gift VouchersGroomingPro', 'op?Find Out MoreBuy Gift VouchersBrick LaneT', 'at Bow LaneBuy Gift VouchersPenhaligon’sGift Vo', 'nd Out MoreBuy Gift VouchersMayfairSome may que', 'ts.Find Out MoreBuy Gift VouchersSpitalfield', 'opShop Gift VouchersAppointment', 'ift VouchersAppointments availa', 'nd Out MoreBuy Gift VouchersBrick LaneThis is w', 'er…Find Out MoreBuy Gift VouchersMayfairSome'}"
68,Cart & Horses,http://www.cartandhorses.london/,19,{'50% OFF'},"{'), “All Right Now” (Free), “Blowin’ Free” (W', 'but single “Running Free” was written during', '”, “I’m A Mover” by Free and Tucky Buzzard’s'}"
78,Burberry,https://uk.burberry.com/stores/thomass-cafe/?utm_source=GooglePlacesYext&utm_medium=organic&utm_campaign=GB9180,23,,"{' a refund using the free return service, ens', 'e returns service.+-GIFT RETURNSItems return', ' and services.Enjoy free shippingContinue sh', ""areThomas's CafeThe Gift CollectionExplore a"", 'ing items using the free returns service:Fra', ' returned using the free returns service.+-G', 's, pleaseContact Us.Free returns are availab', 'ghts.Please use the free return service and ', ' returned using the free returns service. If', 'ote.Please note:the free return service is n', 'ed in our signature gift packaging.Email\\xa0'}"
54,The Dog & Duck,https://www.dogandduck-e17.co.uk/,0,,
86,The Carpenters Arms,https://www.thecarpentersarmspub.co.uk/,0,,"{'ietary. We shall be free to copy, disclose, '}"
55,Splash Charing Cross,http://splashsalons.com/charing-cross/,28,"{'15%off', '50% off', '£39Take off', '50%off'}","{'ng and Conditioning!Free Kerastase Shampooin', ' and virtually pain free hair removal.In mul'}"
35,The Wild Card Brewery Barrel Store,http://www.wildcardbrewery.co.uk/,0,,
92,"Alterations Boutique - Wedding Dress Alterations, Dress Alterations, London",https://www.alterationsboutique.co.uk/,13,,"{'he consultation are free. We only charge for', 'ments are performed free of charge. Rest ass', 'so we can provide a free, accurate and no ob', 'ke advantage of our Free Consultation & Fitt'}"
