id,name,link,score,discounts,freebies,subscriptions
15,Camden Beauty Spa,http://camdenbeautyspa.co.uk/,1,,,{'ur safety proceduresGIFT CARDSCONTACT USCALL US\u200b0'}
16,"Pall Mall Barbers King Cross, Barber Shop, Barbers London, Mens Haircut",https://www.pallmallbarbers.com/location/kings-cross/?utm_source=GMBKingsCross&utm_medium=GMBKingsCross&utm_campaign=weblink,15,{'£5 OFF'},"{'est. Get yourself a free haircut at the Pall', 'air Models Wanted – Free Haircuts Available '}",{'moreBook NowShop NowSubscribe to our modern gen'}
8,"Adam Grooming Atelier, Mayfair",http://adamgroomingatelier.com/,16,{'15% off'},{'vigationUKUKUSEnjoy free next day delivery w'},"{' Grooming CollectionSubscribe to our newsletter', ' SetShaving SetGift VouchersFacetime Gift Vouch', 'granceGift SetsGift VouchersLocationsView allCa', 'erGift VoucherTotal Comp Gift Vouc'}"
40,The Coach & Horses,http://www.thecoachleyton.com/,3,,"{'d friendly, alcohol-free friendly, vegan fri'}",{'roup BookingsContactSubscribe to our mailing li'}
52,"Pall Mall Barbers Bishopsgate, Liverpool Street, City of London 💈",https://www.pallmallbarbers.com/location/bishopsgate/?utm_source=GMBBishopsgate&utm_medium=GMBBishopsgate&utm_campaign=weblink,15,{'£5 OFF'},"{'est. Get yourself a free haircut at the Pall', 'air Models Wanted – Free Haircuts Available '}",{'moreBook NowShop NowSubscribe to our modern gen'}
33,Inspire Beauty,http://www.inspirebeautyuk.com/,1,,,{'uitmentSalon ReviewsGift CardsShopBlogNewsletters'}
59,Boutique Spa Fitzrovia,http://www.boutiquespa.co.uk/,1,,,{'COVERFacialsBOOK NOWGIFT CARDSCOVID19 SPA SAFETY\u200b'}
98,The Victoria,http://www.thevictoriabattersea.co.uk/,2,,"{' & BT. We also have free table tennis, pool '}",
21,The Camberwell Arms,http://www.thecamberwellarms.co.uk/,2,,,"{'ollection & DeliveryVouchersMenuReservationsDel', 'Saturday: 6pm - 10pmSubscribe for latest, news,'}"
72,Newport Street Gallery,http://www.newportstreetgallery.com/,4,,"{'SBOOK TICKETSBook a free ticket to visit New', 'n to the gallery is free.NEWSLETTERNEWSLETTE'}",
72,Newport Street Gallery,http://www.newportstreetgallery.com/book-tickets/,2,,{'t Street Gallery is free but we are operatin'},
27,Ambala Green Street,http://www.ambalafoods.com/,11,{'5% Discount'},,{'asioncorporate giftsSubscribe to our newsletter'}
27,Ambala Green Street,http://www.ambalafoods.com/info/Terms+%252526+Conds.html,13,{'5% Discount'},{'l correspondence is free format text and can'},"{'BALA FOODS LIMITED.""Subscribe to our newsletter'}"
100,The Italians,http://www.theitalians.co.uk/,1,,,{'oad More...Follow UsMEMBERSHIP© 2019 The Italians '}
57,The Pig & Whistle,http://pigandwhistlesw18.co.uk/contactus.php,2,,{'ISTLEContact UsFeel free to drop us message '},
56,The Alpaca,http://www.thealpaca.co.uk/,1,,,{' InstagramNEWSLETTERSubscribe to our Newsletter'}
87,Udderlicious Covent Garden,http://www.udderlicious.co.uk/About,2,,"{' pressie, which was free ice cream naturally'}",
65,Cha Sha,https://chasha.co.uk/coffee-subscriptions/,8,,{'nture at home!Get a free bag nowSend a Gift '},"{'enufranchiseXCoffee SubscriptionsEnjoy the adve', 'Coffee Subscriptions – chasha.co.u', 'wSend a Gift Coffee SubscriptionGet a free bag ', 'nowStart Your Subscription TodaySelect Yo', 'ked QuestionsCan my subscription include more t', 'an I order a coffee subscription as a gift for '}"
80,Oki-Doki London Canary Wharf,http://www.oki-dokinails.co.uk/personal-hygiene/,2,,{'ke home with you or free to leave with me fo'},
80,Oki-Doki London Canary Wharf,http://www.oki-dokinails.co.uk/about/,4,,"{'ing results Paraben Free, Vegan Friendly, Cr', 'uelty Free.Sensitive Gel Trip '}",
55,Splash Charing Cross,http://splashsalons.com/charing-cross/,2,,{'ng and Conditioning!Free Kerastase Shampooin'},
55,Splash Charing Cross,http://splashsalons.com/charing-cross/beauty/,10,{'£39Take off'},,
55,Splash Charing Cross,http://splashsalons.com/charing-cross/laser/,22,"{'50%off', '15%off'}",{' and virtually pain free hair removal.In mul'},
96,The Shortlands Tavern,https://www.shortlandstavern.co.uk/about-us/,2,,"{'e regular nights of free live music, general'}",
44,London Shuffle Club,http://www.londonshuffle.com/,14,{'£25 (OFF'},{'outdoor pergola for free nowPARTIES AND EVEN'},"{'s of 20 or moreGift vouchersTreat someone to an', 'BrunchGroupsFAQGift VouchersContactBook NowThe '}"
44,London Shuffle Club,http://www.londonshuffle.com/contact/,4,,{'outdoor pergola for free nowPARTIES AND EVEN'},"{'s of 20 or moreGift vouchersTreat someone to an', 'BrunchGroupsFAQGift VouchersContactBook NowThe '}"
44,London Shuffle Club,http://www.londonshuffle.com/faq/,6,,"{'outdoor pergola for free nowPARTIES AND EVEN', 'al shoes?Nope. Feel free to wear your ‘speci'}","{'s of 20 or moreGift vouchersTreat someone to an', 'BrunchGroupsFAQGift VouchersContactBook NowThe '}"
18,Rosslyn Coffee | In-Store & Home Coffee Delivery,https://www.rosslyncoffee.com/?utm_source=GMB-listing,8,,{'ou are eligible for free shipping!Your cart '},"{'hersGift Subscriptions3 Month gift s', 'ription6 Month gift subscription12 Month gift s', ' latest from RosslynSubscribe© Rosslyn CoffeeDe', 'latest from Rosslyn.SubscribeShopCoffeeMugsVouc', '0See all coffeeGift subscriptionsThe perfect gi', 'offeeSkip to contentSubscribe to our newsletter'}"
60,Hope & Anchor,https://www.greeneking-pubs.co.uk/pubs/greater-london/hope-anchor/?utm_source=g_places&utm_medium=link&utm_campaign=places&utm_content=,2,,,"{'omeCareersContact UsGift CardsPrivacyFeedbackT&C’', 't giftA Greene King gift card makes the perfect p'}"
